20:43:56.911  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
14:56:16.530  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
14:56:16.558  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
17:11:33.513  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
17:11:33.555  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
17:11:33.588  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
17:11:33.620  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
17:11:33.650  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
17:11:33.683  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
17:12:03.390  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
17:12:03.449  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
17:12:03.570  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
17:12:03.653  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
17:12:03.712  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
17:12:03.778  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
17:13:23.860  [REMOVED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
17:13:23.919  [REMOVED]  mark: 3.5, name: Maciej Buczko, age: 32
17:13:23.990  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
17:13:24.056  [REMOVED]  mark: 2.0, name: Robert Koniotromski, age: 18
17:13:29.123  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
17:13:29.202  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
17:13:29.266  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
17:13:29.326  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
17:13:34.391  [REMOVED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
17:13:34.442  [REMOVED]  mark: 3.5, name: Maciej Buczko, age: 32
17:13:34.494  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
17:13:34.533  [REMOVED]  mark: 2.0, name: Robert Koniotromski, age: 18
17:13:39.578  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
17:13:39.619  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
17:13:39.666  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
17:13:39.724  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
17:56:13.572  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
18:12:12.732  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
18:12:12.782  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
18:12:12.819  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
18:12:12.853  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
18:12:12.890  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:12:12.928  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:12:37.971  [REMOVED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:12:38.037  [REMOVED]  mark: 3.0, name: Maniek Boniek, age: 25
18:12:38.109  [REMOVED]  mark: 3.5, name: Maciej Buczko, age: 32
18:12:38.194  [REMOVED]  mark: 2.0, name: Fraciszek Nowak, age: 28
18:12:38.266  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:12:38.351  [REMOVED]  mark: 2.0, name: Robert Koniotromski, age: 18
18:13:39.565  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
18:13:39.729  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
18:13:39.794  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
18:13:39.858  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
18:13:39.918  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:13:39.991  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:13:50.073  [REMOVED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:13:50.141  [REMOVED]  mark: 3.0, name: Maniek Boniek, age: 25
18:13:50.214  [REMOVED]  mark: 3.5, name: Maciej Buczko, age: 32
18:13:50.269  [REMOVED]  mark: 2.0, name: Fraciszek Nowak, age: 28
18:13:50.335  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:13:50.400  [REMOVED]  mark: 2.0, name: Robert Koniotromski, age: 18
18:14:34.871  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
18:14:35.006  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
18:14:35.085  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
18:14:35.161  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
18:14:35.243  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:14:35.329  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:14:40.428  [REMOVED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:14:40.661  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:14:45.742  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:14:45.794  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:14:55.849  [REMOVED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:14:55.918  [REMOVED]  mark: 3.5, name: Maciej Buczko, age: 32
18:14:55.984  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
18:14:56.171  [REMOVED]  mark: 2.0, name: Robert Koniotromski, age: 18
18:15:01.275  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
18:15:01.431  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
18:15:01.538  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
18:15:01.586  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
16:15:49.089  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
16:15:49.157  [ADDED]  mark: 2.0, name: Fraciszek Nowak, age: 28
16:15:49.206  [ADDED]  mark: 2.0, name: Robert Koniotromski, age: 18
16:15:49.270  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
16:15:49.342  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
16:15:49.405  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
16:16:09.604  [REMOVED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
16:16:09.875  [REMOVED]  mark: 3.5, name: Maciej Buczko, age: 32
16:16:09.946  [REMOVED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
16:16:45.012  [ADDED]  mark: 3.5, name: Maciej Buczko, age: 32
16:16:45.056  [ADDED]  mark: 5.0, name: Bronisław Romanowicz, age: 24
16:16:45.101  [ADDED]  mark: 4.5, name: Amadeusz Wonforski, age: 21
16:18:45.346  [REMOVED]  mark: 3.0, name: Maniek Boniek, age: 25
16:19:05.462  [ADDED]  mark: 4.0, name: Jan Kowalski, age: 22
16:19:30.521  [ADDED]  mark: 3.0, name: Maniek Boniek, age: 25
16:19:45.585  [REMOVED]  mark: 2.0, name: Fraciszek Nowak, age: 28
